Intel Pentium D 940,65.0,130.0,140.0
AMD Turion 64 MT-37,90.0,25.0,125.0
Intel Core i5-4300M,22.0,37.0,118.0
Intel Core i7-3635QM,22.0,45.0,160.0
AMD Opteron 6376,32.0,115.0,315.0
AMD Opteron 244,130.0,82.0,193.0
Intel Core i5-3330S,22.0,77.0,133.0
Intel Pentium 4 2.40,90.0,110.0,109.0
Intel Xeon E5-2695 v2,22.0,115.0,160.0
Intel Pentium M 725,90.0,21.0,84.0
AMD A4-3320M,32.0,35.0,228.0
Intel Mobile Pentium 4 2.80,130.0,68.0,131.0
Intel Core i7-4960X,22.0,130.0,257.0
AMD Athlon II X2 250e,45.0,45.0,117.0
AMD Athlon 64 X2 6000+,65.0,89.0,126.0
AMD Athlon 64 LE-1620,90.0,45.0,230.0
Intel Celeron 2.40,130.0,73.0,146.0
AMD EPYC 7232P,7.0,120.0,74.0
Intel Atom CE4150,45.0,7.0,26.0
AMD Athlon II X2 220,45.0,65.0,117.0
AMD Opteron 4334,32.0,95.0,315.0
Intel Core 2 Quad Q9400,45.0,95.0,81.0
Intel Xeon E7-8891 v3,22.0,165.0,160.0
Intel Pentium 967,32.0,17.0,131.0
AMD Athlon 900,180.0,50.0,120.0
Intel Celeron G460,32.0,35.0,131.0
AMD FX-6350,32.0,125.0,315.0
Intel Celeron G3900,14.0,51.0,150.0
Intel Pentium G850,32.0,65.0,131.0
AMD EPYC 7742,7.0,225.0,74.0
Intel Core i7-4810MQ,22.0,47.0,177.0
Intel Core 2 Duo E8600,45.0,65.0,107.0
AMD Phenom II X6 1090T BE,45.0,125.0,346.0
Intel Xeon 7130M,65.0,150.0,435.0
Intel Core i3-4160T,22.0,35.0,177.0
AMD Sempron 130,45.0,45.0,117.0
Intel Atom N470,45.0,7.0,66.0
Intel Core Duo LV L2500,65.0,15.0,90.0
AMD Sempron 2300+,130.0,62.0,80.0
AMD A10-5700,32.0,65.0,246.0
AMD A4-1350,32.0,8.0,246.0
Intel Pentium III 1000,180.0,29.0,80.0
Intel Atom Z530,45.0,2.0,26.0
Intel Xeon W3580,45.0,130.0,263.0
AMD Athlon 64 3800+,90.0,62.0,183.0
AMD Athlon 64 X2 4600+ EE,90.0,65.0,220.0
Intel Core i5-2435M,32.0,35.0,149.0
AMD Athlon 1200,180.0,66.0,120.0
Intel Pentium III  800,180.0,38.0,80.0
AMD Athlon XP-M 2200+,130.0,45.0,101.0
Intel Pentium 4-M 1.40,130.0,21.0,131.0
Intel Core i3-2377M,32.0,17.0,149.0
Intel Atom D510,45.0,13.0,66.0
Intel Core Duo T2250,65.0,31.0,90.0
Intel Atom N455,45.0,7.0,66.0
Intel Pentium D 840,90.0,130.0,206.0
Intel Xeon E5-2609 v2,22.0,80.0,160.0
Intel Core 2 Duo E4600,65.0,65.0,111.0
Intel Xeon E7-8893 v3,22.0,140.0,160.0
Intel Core i7-620M,32.0,35.0,81.0
AMD Phenom II X3 B75,45.0,95.0,258.0
AMD Athlon 64 3000+,130.0,89.0,144.0
AMD Athlon 64 3200+,130.0,89.0,193.0
